timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
0.0,0,t0,270,200.0,99,5,2,0.6641384151371695,True,60.94789914459953,2.8921944049787642,True,False
0.07,1,t1,270,200.0,54,3,2,0.7561234972195149,True,43.74334360956905,2.644157367259999,True,False
0.24,2,t2,300,250.0,95,6,4,0.7235957367911838,True,76.8842830119224,2.8446813349127766,True,False
0.34,3,t3,300,250.0,49,5,1,0.6672061807397749,False,65.8762436912319,2.775529243127635,False,False
0.37,4,t4,170,100.0,75,6,7,0.6493001309928479,True,19.0785195844369,1.5468469838386414,True,False
0.45,5,t5,300,250.0,64,0,2,0.7284974066545836,False,74.97027117967892,2.833325105356586,False,False
0.77,6,t6,300,250.0,86,7,1,0.7137581860503631,True,65.18582752836626,3.021645510577283,True,False
0.92,7,t7,170,100.0,25,1,3,0.6996415071489998,True,17.31734956875998,1.7897924306124693,True,True
0.93,8,t8,300,250.0,51,2,4,0.7018220315963728,False,75.79314129928981,2.711994613601405,False,False
0.95,9,t9,120,75.0,98,4,7,0.7978567408359883,True,8.218110319222749,1.144714709599095,True,False
1.29,10,t10,170,100.0,63,0,4,0.7632172774378574,True,13.678833994650509,1.5992172443290205,True,False
1.3,11,t11,120,75.0,38,5,7,0.6594080877163564,True,8.040764917209058,1.2563936436428784,True,False
1.46,12,t12,120,75.0,59,7,3,0.7589919023489362,True,8.440762198136936,1.2471794882936085,True,True
1.64,13,t13,300,250.0,37,4,6,0.7177981263041283,False,79.11551262797477,2.866104485722299,False,False
1.97,14,t14,300,250.0,72,2,3,0.7915446540290124,True,80.96964301036819,3.2978310770947283,True,True
2.03,15,t15,80,50.0,39,7,6,0.6862583506015626,True,3.2570459840662287,0.8688389548680127,True,False
2.15,16,t16,80,50.0,92,5,7,0.6618021077802111,True,4.721602953910736,0.8083869114114735,True,False
2.25,17,t17,270,1000.0,40,7,1,0.7149136889960226,False,285.07477325812545,2.666121281913196,False,False
