timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
0.0,0,t0,270,200.0,99,1,6,0.6861694487129752,False,45.916288137537634,2.8584451373247464,True,False
0.07,1,t1,270,200.0,54,7,3,0.8151121026899854,True,53.40896984305895,2.946372067011144,True,True
0.24,2,t2,300,250.0,95,7,4,0.7156429915026502,True,60.50869537227405,2.9778664849572114,True,False
0.34,3,t3,300,250.0,49,1,4,0.7106433939309983,False,83.88785120626817,3.227920780811707,False,False
0.37,4,t4,170,100.0,75,1,5,0.7281999068091539,True,18.574064957411252,1.6713374228233253,True,False
0.45,5,t5,300,250.0,64,7,5,0.7469682406655556,False,69.48947538621518,3.2987587070735387,False,False
0.77,6,t6,300,250.0,86,4,1,0.6609431465501138,True,73.35014831800048,3.2074075179819075,True,False
0.92,7,t7,170,100.0,25,5,4,0.774120653124536,True,14.848648898749827,1.5862348648961457,True,False
0.93,8,t8,300,250.0,51,0,3,0.7482476655204966,True,68.14972893219402,3.081089556852982,True,True
0.95,9,t9,120,75.0,98,1,6,0.6817027264053824,True,8.05194944322462,1.2262444873238696,True,False
1.29,10,t10,170,100.0,63,5,2,0.7360032346365627,True,18.99665574866452,1.8302068383449825,True,False
1.3,11,t11,120,75.0,38,5,7,0.7042400695512646,True,8.262552658589833,1.3039142462934852,True,True
1.46,12,t12,120,75.0,59,1,4,0.7058387078705602,True,9.243088267394807,1.2432046868208266,True,False
1.64,13,t13,300,250.0,37,6,1,0.7783336035008382,False,80.60139415892444,2.724269900627282,False,False
1.97,14,t14,300,250.0,72,2,6,0.8189868674956036,False,75.4059934348778,2.7933089036486973,False,False
2.03,15,t15,80,50.0,39,5,4,0.7742204218802271,True,4.261741036831342,0.8043930978369048,True,False
2.15,16,t16,80,50.0,92,4,1,0.6633064654372932,True,3.600894149679623,0.7424339854976368,True,False
2.25,17,t17,270,1000.0,40,0,4,0.7630135899827953,False,264.17734362822165,2.656512869938703,False,False
2.26,18,t18,120,75.0,66,1,4,0.7073041155313309,True,8.856248861047582,1.234964854287297,True,False
2.29,19,t19,220,150.0,93,5,4,0.7743181952608044,True,38.23341290338539,2.072813387010919,True,False
2.39,20,t20,300,1200.0,71,1,4,0.7087402150388861,False,375.5631730519972,3.2961571152701836,False,False
2.49,21,t21,300,250.0,79,3,2,0.7151798944023511,True,77.56467870988537,3.182507853456568,True,False
2.54,22,t22,170,100.0,61,7,4,0.7169123134907791,False,15.800072461415004,1.610108448341627,True,False
2.78,23,t23,120,75.0,84,5,4,0.7744140131737701,True,9.558900721432297,1.171140500587218,True,False
2.88,24,t24,270,1000.0,61,3,5,0.7178479531630971,False,323.8483901266173,2.644814324198652,False,False
2.89,25,t25,220,150.0,91,7,3,0.8142405273028522,True,34.164007324936925,2.3213043428369144,True,True
3.01,26,t26,270,1000.0,67,2,6,0.8118637968123582,False,259.68147780058064,2.6497609704592238,False,False
3.04,27,t27,300,250.0,86,4,3,0.6598058142333689,True,73.31759856985249,3.2155914180366216,True,True
3.37,28,t28,270,900.0,61,7,5,0.7414370576704263,False,289.2729019173399,2.5330569154958984,False,False
3.4,29,t29,270,200.0,26,6,2,0.7442049179366833,False,53.40458204436693,2.6456275068219175,False,False
3.53,30,t30,170,100.0,41,5,7,0.7057374499784211,True,15.345929263146362,1.8459762461739788,True,True
