topology,malicious_ratio,model,trust_mse,trust_mse_std,trust_rmse,trust_rmse_std,trust_mae,trust_mae_std,detection_accuracy,detection_accuracy_std,detection_precision,detection_precision_std,detection_recall,detection_recall_std,detection_f1,detection_f1_std,detection_auc,detection_auc_std
Pakistan_Tuple30K,10%,GAT,0.010775903619766875,0.010752288344294038,0.09378535815886517,0.04449955297281376,0.0767419009763169,0.03938066350225891,0.975,0.049999999999999996,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.001587301587301589,0.003174603174603178
Pakistan_Tuple30K,10%,GraphSAGE,0.005053588420092761,0.0020029788376041725,0.06987280898642409,0.013091179642776743,0.056977958845815954,0.009581370702179742,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple30K,10%,GCN,0.0021428328116923625,0.0005824971887497529,0.04587442395685828,0.0061943553594211425,0.036408582178670185,0.004847740450880727,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple30K,10%,Transformer,0.005655624911949044,0.0019570323559467253,0.07422840841155162,0.012073454213146154,0.060785126695020744,0.0077347945148977006,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple30K,15%,GAT,0.012295784617221995,0.010078084993685269,0.10371831370091558,0.03922111701954014,0.08550118294675281,0.03245864197368138,0.975,0.049999999999999996,0.8,0.4,0.8,0.4,0.8,0.4,0.00476190476190476,0.00952380952380952
Pakistan_Tuple30K,15%,GraphSAGE,0.005020813296087706,0.0022465982189500393,0.06933884645336118,0.014592383924667931,0.05644986667934319,0.009491644286049898,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple30K,15%,GCN,0.0037229738454761774,0.002239582849402385,0.05854067507767098,0.017203581223882724,0.045061941916237,0.011273970198352225,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple30K,15%,Transformer,0.006974023765246237,0.0030676429095435873,0.08158584941794433,0.017826186916969963,0.06757294762538253,0.016627670601050852,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple30K,20%,GAT,0.006861491518757862,0.0027375324508330827,0.08113750313210459,0.016679241716744193,0.06738331172329079,0.015503815278590276,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple30K,20%,GraphSAGE,0.005292366074047081,0.0021377718976156803,0.0714097193340528,0.013893093920321928,0.05796744252807606,0.00968506815456209,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple30K,20%,GCN,0.0029033962014745848,0.0016239726424681425,0.052203225467520785,0.013349885852012883,0.041161910570272665,0.010273442223068923,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple30K,20%,Transformer,0.005523654483954826,0.0017677038608517538,0.07346130876615731,0.011273446603329691,0.05930217757119838,0.007656612078803959,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,10%,GAT,0.010869356960581677,0.008641697320053836,0.0974563817402547,0.03703526182814733,0.07904493105089616,0.029800550228392897,0.9818181818181818,0.036363636363636376,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.002857142857142847,0.005714285714285694
Pakistan_Tuple50K,10%,GraphSAGE,0.004882783417368024,0.00233366642916699,0.06796044821350485,0.01625302728686415,0.05357941717462387,0.011904983613947673,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,10%,GCN,0.0025073139050903305,0.00034299305692464554,0.0499635631336995,0.00331002478467386,0.03943024098656126,0.0032619909550339775,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,10%,Transformer,0.006064919710194731,0.00223846985766616,0.07645112432266576,0.014837294227554884,0.061543735994207524,0.010479169024992073,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,15%,GAT,0.006294872361268855,0.002331326150550302,0.07796907643040685,0.01468657488518786,0.06243741172306193,0.010165846550379207,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,15%,GraphSAGE,0.003125272924434451,0.0007865205952214122,0.05547654056701251,0.0069011862133307135,0.04463935978653353,0.005882444476226585,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,15%,GCN,0.002796220431484805,0.0011587394917896808,0.05191212249479268,0.010067371532353677,0.04005828357260855,0.007458607936442743,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,15%,Transformer,0.006664982099913683,0.0018065003625327084,0.08090053618356854,0.010958345911897415,0.06647584095043726,0.00871356321011802,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,20%,GAT,0.005018944046456447,0.002310673041180114,0.0691288419005625,0.01549668557929346,0.05568930177057132,0.011738521201538513,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,20%,GraphSAGE,0.004586867464272448,0.0023125026408255594,0.06570420870065949,0.016426333227249155,0.05180257189015265,0.01290748040919232,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,20%,GCN,0.0026566787364179145,0.00037192759427058823,0.05141939762975737,0.003567111409924995,0.040256764934468184,0.0026755726867322143,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple50K,20%,Transformer,0.005472200297706739,0.002175303708780772,0.0725326484118184,0.014533245063449387,0.057731487100452075,0.01079950275340884,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple100K,10%,GAT,0.008721634448194678,0.005764506303710476,0.08875910427870401,0.029042311475446055,0.06970425167395389,0.02183799296159486,0.9866666666666667,0.02666666666666666,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.0037900874635568523,0.007580174927113704
Pakistan_Tuple100K,10%,GraphSAGE,0.003881623553666646,0.0020735143729992554,0.06020750470631797,0.016021233744794597,0.04890779905864044,0.015212026652823762,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple100K,10%,GCN,0.0020305194377224127,0.00035624270475412224,0.044880284254168935,0.004034789088342609,0.03435740112653474,0.0026928989644744035,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple100K,10%,Transformer,0.0065175181119253274,0.0022281362314821246,0.07955410179811945,0.013735465009229677,0.0652331108484628,0.01197847632070012,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple100K,15%,GAT,0.028884195299554393,0.006712507548801758,0.1688505998345889,0.01933055185590735,0.1373556870797255,0.02453350380807205,0.8933333333333333,0.03265986323710903,0.4,0.48989794855663565,0.2,0.24494897427831783,0.26666666666666666,0.3265986323710904,0.18489447060875633,0.15899467946664
Pakistan_Tuple100K,15%,GraphSAGE,0.003999782128463571,0.001296750498121949,0.06242018295156654,0.010173636948335327,0.04871272157606642,0.007862517644570943,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple100K,15%,GCN,0.0024557909356367263,0.0005572038358845545,0.04924225041648837,0.005567019809249573,0.037882627216540496,0.003488190708102631,0.9980952380952381,0.003809523809523796,1.0,0.0,0.9857142857142858,0.02857142857142856,0.9925925925925926,0.014814814814814836,0.0,0.0
Pakistan_Tuple100K,15%,Transformer,0.005358744392785085,0.001986027236666226,0.07201816907647549,0.01311974525885605,0.05621601859830081,0.007827990859149597,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple100K,20%,GAT,0.030368362164733577,0.010619923551797203,0.17147108850986945,0.031080990492165672,0.15457872999959954,0.030754669811115257,0.9199999999999999,0.09797958971132709,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,0.03786848072562358,0.07573696145124716
Pakistan_Tuple100K,20%,GraphSAGE,0.003616914355981457,0.001177658515444186,0.05944036433235659,0.00915190930998376,0.04717333204590063,0.006361767157483204,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Pakistan_Tuple100K,20%,GCN,0.00245101346689982,0.0005853754872686452,0.04917117199989433,0.005762752038447293,0.0387537462571654,0.004611786933434104,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
